City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Avarua,CK,82.4,moderate rain,-21.2078,-159.775,Avarua District
6,Monywa,MM,86.18,clear sky,22.1167,95.1333,Monywa
7,Hilo,US,80.6,clear sky,19.7297,-155.09,Hilo
8,Rikitea,PF,78.3,light rain,-23.1203,-134.9692,Rikitea
10,Taoudenni,ML,87.93,clear sky,22.6783,-3.9836,Taoudenni
11,Japura,ID,72.41,light rain,-0.3167,102.35,Djapoera
17,Puerto Ayora,EC,80.6,scattered clouds,-0.7393,-90.3518,Puerto Ayora
18,Richards Bay,ZA,72.0,clear sky,-28.783,32.0377,Richards Bay
20,Najran,SA,77.0,few clouds,17.4924,44.1277,Najran
25,Luganville,VU,80.44,overcast clouds,-15.5333,167.1667,Luganville
28,Atuona,PF,80.56,few clouds,-9.8,-139.0333,Atuona
36,Kapaa,US,77.0,light rain,22.0752,-159.319,Kapaʻa
40,Kieta,PG,82.44,overcast clouds,-6.2167,155.6333,Kieta
42,East London,ZA,70.84,overcast clouds,-33.0153,27.9116,East London
45,Mahebourg,MU,77.0,broken clouds,-20.4081,57.7,Mahebourg
49,Barra Patuca,HN,83.79,clear sky,15.8,-84.2833,Barra Patuca
59,San Matias,BO,83.43,overcast clouds,-16.3667,-58.4,San Matías
60,Mahibadhoo,MV,82.54,few clouds,3.7833,72.9667,Omadhoo
61,Bull Savanna,JM,78.51,broken clouds,17.8868,-77.5902,Alligator Pond
65,Padang,ID,75.2,overcast clouds,-0.9492,100.3543,Padang
66,Bushehr,IR,79.21,overcast clouds,28.9684,50.8385,Bandar Bushehr
68,Kibala,TD,89.6,clear sky,9.1104,18.3463,Sarh
71,Axim,GH,81.16,overcast clouds,4.8699,-2.2405,Axim
74,Manaus,BR,80.6,moderate rain,-3.1019,-60.025,Manaus
76,Kantunilkin,MX,86.0,scattered clouds,21.0917,-87.45,Kantunilkín
79,Barkhan,PK,70.83,scattered clouds,29.8977,69.5256,Barkhan
82,Vaini,TO,80.6,few clouds,-21.2,-175.2,Nukuhetulu
85,Victoria,HK,73.0,overcast clouds,22.2855,114.1577,Hong Kong
86,Masingbi,SL,80.73,scattered clouds,8.7833,-11.95,Masingbi
96,Manzanillo,CU,86.27,overcast clouds,20.3433,-77.1167,Manzanillo
104,Banda Aceh,ID,79.2,clear sky,5.5577,95.3222,Banda Aceh
105,Ahipara,NZ,70.47,scattered clouds,-35.1667,173.1667,Ahipara
109,Maceio,BR,71.6,light rain,-9.6658,-35.7353,Maceió
113,Mogadishu,SO,81.75,overcast clouds,2.0371,45.3438,Mogadishu
115,Antalaha,MG,74.25,overcast clouds,-14.9003,50.2788,Antalaha
116,Kandrian,PG,78.64,light rain,-6.2167,149.55,Kandrian
