City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,65.25,71,11,4.74,few clouds
1,Sidney,AU,-33.8679,151.2073,55.4,47,20,17.27,few clouds
2,Khatanga,RU,71.9667,102.5,16.11,84,98,11.25,overcast clouds
3,Bluff,NZ,-46.6,168.3333,55.99,97,31,8.01,scattered clouds
4,Avarua,CK,-21.2078,-159.775,82.4,78,35,6.91,moderate rain
5,Narsaq,GL,60.9167,-46.05,48.2,29,0,13.8,clear sky
6,Monywa,MM,22.1167,95.1333,86.18,34,8,5.35,clear sky
7,Hilo,US,19.7297,-155.09,80.6,44,1,11.5,clear sky
8,Rikitea,PF,-23.1203,-134.9692,78.3,74,7,8.19,light rain
9,Bredasdorp,ZA,-34.5322,20.0403,57.2,94,100,1.14,overcast clouds
10,Taoudenni,ML,22.6783,-3.9836,87.93,13,0,7.76,clear sky
11,Japura,ID,-0.3167,102.35,72.41,99,80,2.08,light rain
12,Carballo,ES,43.213,-8.691,48.0,67,2,5.99,clear sky
13,Nikolskoye,RU,59.7035,30.7861,43.0,56,0,4.47,light rain
14,Pesca,CO,5.55,-73.05,56.98,83,92,3.33,overcast clouds
15,Helong,CN,42.5397,128.9972,51.03,62,100,6.85,overcast clouds
16,Pula,HR,44.8683,13.8481,55.4,88,90,9.22,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,40,9.22,scattered clouds
18,Richards Bay,ZA,-28.783,32.0377,72.0,95,6,6.44,clear sky
19,Mataura,NZ,-46.1927,168.8643,55.99,97,86,8.01,overcast clouds
20,Najran,SA,17.4924,44.1277,77.0,18,20,5.35,few clouds
21,Iqaluit,CA,63.7506,-68.5145,30.2,93,90,17.27,overcast clouds
22,Suihua,CN,46.6406,126.9969,51.76,47,100,18.37,overcast clouds
23,Jiaojiang,CN,28.6803,121.4428,64.99,99,100,4.54,moderate rain
24,Jiuquan,CN,39.7432,98.5174,41.2,63,1,6.24,clear sky
25,Luganville,VU,-15.5333,167.1667,80.44,76,91,1.41,overcast clouds
26,Hermanus,ZA,-34.4187,19.2345,64.99,83,100,4.0,overcast clouds
27,Cape Town,ZA,-33.9258,18.4232,64.99,94,0,12.66,clear sky
28,Atuona,PF,-9.8,-139.0333,80.56,78,17,17.67,few clouds
29,Aklavik,CA,68.2191,-135.0107,10.4,34,15,5.75,few clouds
30,Hokitika,NZ,-42.7167,170.9667,56.19,92,99,7.11,overcast clouds
31,Hovd,MN,48.0056,91.6419,28.85,31,0,5.17,clear sky
32,Busselton,AU,-33.65,115.3333,61.0,99,100,12.97,light rain
33,Grande-Synthe,FR,51.0154,2.2998,39.2,81,20,6.91,few clouds
34,La Ronge,CA,55.1001,-105.2842,35.6,55,100,6.91,overcast clouds
35,Barrow,US,71.2906,-156.7887,-11.2,77,1,5.75,clear sky
36,Kapaa,US,22.0752,-159.319,77.0,61,75,16.11,light rain
37,Taltal,CL,-25.4,-70.4833,65.79,75,44,5.28,scattered clouds
38,Pevek,RU,69.7008,170.3133,-15.29,100,100,5.28,overcast clouds
39,College,US,64.8569,-147.8028,28.99,33,90,6.91,overcast clouds
40,Kieta,PG,-6.2167,155.6333,82.44,69,95,0.51,overcast clouds
41,Bethel,US,41.3712,-73.414,55.4,82,90,6.91,light rain
42,East London,ZA,-33.0153,27.9116,70.84,85,100,3.13,overcast clouds
43,Longyearbyen,SJ,78.2186,15.6401,19.4,63,75,16.11,broken clouds
44,Norman Wells,CA,65.282,-126.8329,6.8,40,1,10.36,clear sky
45,Mahebourg,MU,-20.4081,57.7,77.0,94,75,6.91,broken clouds
46,Tiksi,RU,71.6872,128.8694,6.58,68,100,7.87,overcast clouds
